"";"Vendas Previstas"
"Jan";193.83
"Fev";195.11
"Mar";207.99
"Abr";200.31
"Mai";204.41
"Jun";200.96
"Jul";209.23
"Ago";217.97
"Set";217.81
"Out";204.6
"Nov";231.03
"Dec";246.96
