"";"Vendas Previstas"
"Jan";187.09
"Fev";175.6
"Mar";213.72
"Abr";161.18
"Mai";198.57
"Jun";194.81
"Jul";196.42
"Ago";204.39
"Set";191.96
"Out";202.32
"Nov";200.28
"Dec";231.19
