"";"Vendas Previstas"
"Jan";186.47
"Fev";174.01
"Mar";217.15
"Abr";163.04
"Mai";196.41
"Jun";194.7
"Jul";195.85
"Ago";203.94
"Set";193.41
"Out";201.51
"Nov";200.42
"Dec";230.34
