"";"Vendas Previstas"
"Jan";185.88
"Fev";176.2
"Mar";211.11
"Abr";160.32
"Mai";196.39
"Jun";195.24
"Jul";197.36
"Ago";204.5
"Set";193.17
"Out";202.54
"Nov";201.3
"Dec";229.52
