"";"Vendas Previstas"
"Jan";190.57
"Fev";176.39
"Mar";215.55
"Abr";162.63
"Mai";197.11
"Jun";193.54
"Jul";196.27
"Ago";202.87
"Set";191.52
"Out";200.77
"Nov";198.95
"Dec";233.42
