"";"Vendas Previstas"
"Jan";187.57
"Fev";175.34
"Mar";211.75
"Abr";160.12
"Mai";197.19
"Jun";195.4
"Jul";196.9
"Ago";205.23
"Set";192.28
"Out";202.31
"Nov";201.36
"Dec";230.95
