"";"Vendas Previstas"
"Jan";194.14
"Fev";193.22
"Mar";203.85
"Abr";200.78
"Mai";202.38
"Jun";200.45
"Jul";212.23
"Ago";218.43
"Set";219.64
"Out";202.06
"Nov";231.51
"Dec";248.21
